2295,1884668,103479,53,12727,60073,30,0,0,1,0,10,0 
2295,1884668,103479,53,12727,60073,65,60,0,0,0,39,0 
3224,444592,219,74,2821,96627,4,8,1,0,1,84,0 
3224,444592,219,74,2821,96627,1,1,0,0,1,74,0 
3146,256101,501,130,3032,34385,2,12,0,0,2,29,0 
3224,444592,219,74,2821,96627,2,8,0,0,2,39,0 
3224,444592,219,74,2821,96627,7,4,0,0,1,71,2 
3224,444592,219,74,2821,96627,8,0,2,1,1,98,2 
2295,1884668,103479,53,12727,60073,107,124,0,0,0,30,2 
738,8281,43,50,127,8496,0,0,0,0,2,38,2 
3224,444592,219,74,2821,96627,1,1,0,0,0,17,2 
2588,7183,715,3859,118,14397,211,0,1,1,1,49,2 
2588,7183,715,3859,118,14397,93,0,1,1,1,58,2 
2719,78047,36365,153,915,61723,0,0,0,0,1,24,3 
3146,256101,501,130,3032,34385,13,34,0,0,2,20,3 
3224,444592,219,74,2821,96627,9,5,0,0,1,50,3 
738,8281,43,50,127,8496,2,2,0,0,2,53,3 
2295,1884668,103479,53,12727,60073,183,186,0,0,0,73,3 
3224,444592,219,74,2821,96627,5,12,0,0,1,53,3 
2707,9241,1989,49283,160,64455,187,0,3,3,1,76,6 
3224,444592,219,74,2821,96627,2,2,0,1,1,56,6 
872,355430,245,7988,553,13235,2,27,0,0,1,37,6 
3224,444592,219,74,2821,96627,7,4,0,0,1,43,6 
2707,9241,1989,49283,160,64455,0,1,0,0,0,47,6 
2707,9241,1989,49283,160,64455,2654,0,1,1,0,111,8 
2707,9241,1989,49283,160,64455,1174,0,1,1,1,55,8 
738,8281,43,50,127,8496,0,0,0,0,2,17,8 
2575,79532,669,65,688,6983,6,3,0,0,1,43,8 
2014,4912,276,213,64,2054,0,0,3,0,1,36,8 
872,355430,245,7988,553,13235,27,65,0,0,2,0,8 
2707,9241,1989,49283,160,64455,3843,0,1,1,1,80,8 
738,8281,43,50,127,8496,1,0,0,0,2,40,8 
2594,63594,19330,3726,601,32135,22,64,1,0,1,50,12 
3224,444592,219,74,2821,96627,3,2,0,0,2,40,12 
2295,1884668,103479,53,12727,60073,162,179,0,0,0,27,12 
2405,37367,1066,926,193,17688,1,3,1,0,2,28,14 
3366,167741,6067,32000,7655,141126,1,6,0,0,1,88,14 
738,8281,43,50,127,8496,0,1,0,0,2,50,14 
738,8281,43,50,127,8496,0,0,0,0,2,55,14 
3224,444592,219,74,2821,96627,11,10,0,0,0,80,14 
3028,6998,3713,19320,236,30460,1,2,0,0,1,29,14 
2707,9241,1989,49283,160,64455,43,0,0,3,1,24,14 
2707,9241,1989,49283,160,64455,2,0,0,2,1,47,14 
2707,9241,1989,49283,160,64455,5357,0,0,1,1,68,14 
2295,1884668,103479,53,12727,60073,205,247,0,0,0,21,14 
2707,9241,1989,49283,160,64455,8,0,0,2,1,65,16 
738,8281,43,50,127,8496,2,1,0,0,2,48,16 
2707,9241,1989,49283,160,64455,1,10,0,0,1,16,16 
3366,167741,6067,32000,7655,141126,2,18,0,0,0,25,16 
2588,7183,715,3859,118,14397,0,1,1,0,2,28,17 
3224,444592,219,74,2821,96627,3,5,0,0,1,32,17 
3366,167741,6067,32000,7655,141126,0,3,0,0,0,7,17 
2707,9241,1989,49283,160,64455,1,0,0,1,1,18,17 
2594,63594,19330,3726,601,32135,6,16,0,1,2,58,19 
2131,36974,910,7062,360,9555,2,3,2,0,2,24,19 
872,355430,245,7988,553,13235,85,132,0,0,0,45,19 
738,8281,43,50,127,8496,0,0,1,0,2,63,19 
2707,9241,1989,49283,160,64455,0,6,0,0,0,36,19 
2604,78329,248,41,422,36640,4,2,1,0,1,31,19 
2604,78329,248,41,422,36640,3,5,1,0,1,41,24 
2707,9241,1989,49283,160,64455,3,0,0,1,0,31,27 
2707,9241,1989,49283,160,64455,19352,0,0,2,0,36,27 
2707,9241,1989,49283,160,64455,0,1,0,0,0,23,27 
2707,9241,1989,49283,160,64455,1,0,0,1,1,35,27 
1727,46410,1695,2137,249,4964,13,14,1,0,2,77,27 
2707,9241,1989,49283,160,64455,1,1,0,2,1,75,27 
3366,167741,6067,32000,7655,141126,13,42,0,0,1,92,27 
2575,79532,669,65,688,6983,13,6,0,1,1,64,27 
3224,444592,219,74,2821,96627,6,4,0,0,2,29,27 
738,8281,43,50,127,8496,0,0,0,0,2,32,27 
2295,1884668,103479,53,12727,60073,226,268,0,0,0,30,27 
2719,78047,36365,153,915,61723,7,12,0,0,1,16,27 
2707,9241,1989,49283,160,64455,3,8,0,0,1,25,27 
1657,446949,83,262,5671,38378,34,57,1,0,1,16,27 
2707,9241,1989,49283,160,64455,3,0,0,1,1,67,27 
2131,36974,910,7062,360,9555,2,3,2,0,1,94,27 
2707,9241,1989,49283,160,64455,125,0,0,1,1,41,27 
2707,9241,1989,49283,160,64455,31,0,0,1,1,42,27 
2707,9241,1989,49283,160,64455,73,0,0,1,1,62,27 
2707,9241,1989,49283,160,64455,1,0,0,3,1,92,29 
2707,9241,1989,49283,160,64455,34,0,0,1,1,13,29 
738,8281,43,50,127,8496,0,0,0,0,2,65,29 
2707,9241,1989,49283,160,64455,5,0,0,1,1,17,29 
2707,9241,1989,49283,160,64455,648,0,0,1,1,11,29 
2707,9241,1989,49283,160,64455,2,0,0,1,1,24,31 
2707,9241,1989,49283,160,64455,3,0,0,1,0,53,33 
2719,78047,36365,153,915,61723,2,0,0,2,0,95,33 
2588,7183,715,3859,118,14397,0,1,1,0,2,49,34 
2707,9241,1989,49283,160,64455,1,3,0,0,1,30,34 
2915,2852519,770,13,29450,63139,8,0,0,2,1,84,37 
2915,2852519,770,13,29450,63139,10,0,0,2,1,82,37 
2707,9241,1989,49283,160,64455,2,0,0,1,1,8,37 
2707,9241,1989,49283,160,64455,4922,0,0,1,1,10,37 
3224,444592,219,74,2821,96627,8,7,0,0,1,27,37 
2707,9241,1989,49283,160,64455,30694,0,0,2,0,61,37 
3224,444592,219,74,2821,96627,16,36,0,0,1,37,37 
3224,444592,219,74,2821,96627,4,3,0,0,1,37,37 
2425,5354,3189,0,102,77346,0,0,0,0,1,83,43 
3224,444592,219,74,2821,96627,2,6,0,0,1,40,43 
2707,9241,1989,49283,160,64455,824,0,0,1,1,24,43 
2707,9241,1989,49283,160,64455,1179,0,0,1,0,80,45 
3224,444592,219,74,2821,96627,7,9,0,0,1,36,45 
2707,9241,1989,49283,160,64455,26987,0,0,1,0,25,45 
738,8281,43,50,127,8496,1,0,0,0,2,48,46 
2131,36974,910,7062,360,9555,2,5,1,0,1,83,47 
1151,345898,163,4139,1148,8611,6,41,0,2,2,43,47 
2131,36974,910,7062,360,9555,5,0,0,1,1,64,47 
2295,1884668,103479,53,12727,60073,133,185,0,0,0,18,47 
2604,78329,248,41,422,36640,1,1,1,0,1,46,47 
738,8281,43,50,127,8496,3,1,0,0,2,61,47 
2588,7183,715,3859,118,14397,1,1,1,3,1,81,50 
2594,63594,19330,3726,601,32135,1,12,0,0,2,29,50 
738,8281,43,50,127,8496,1,0,0,0,2,40,51 
2014,4912,276,213,64,2054,0,0,0,0,2,41,55 
2131,36974,910,7062,360,9555,2,3,0,1,1,97,55 
2594,63594,19330,3726,601,32135,4,0,1,2,1,79,55 
2295,1884668,103479,53,12727,60073,372,440,0,0,0,49,55 
738,8281,43,50,127,8496,0,0,0,0,2,65,55 
738,8281,43,50,127,8496,0,0,0,0,2,59,55 
738,8281,43,50,127,8496,0,0,0,0,2,56,55 
2604,78329,248,41,422,36640,1,4,1,0,1,42,58 
2588,7183,715,3859,118,14397,1,0,1,1,1,92,59 
2100,2252531,486,32909,3537,81208,71,1129,0,0,0,89,59 
738,8281,43,50,127,8496,0,0,0,0,2,63,59 
2707,9241,1989,49283,160,64455,806,0,0,1,1,44,59 
872,355430,245,7988,553,13235,2,35,1,0,1,21,59 
2719,78047,36365,153,915,61723,3,0,0,0,1,65,59 
2719,78047,36365,153,915,61723,0,0,0,0,1,19,60 
2594,63594,19330,3726,601,32135,1,6,0,1,2,54,62 
2295,1884668,103479,53,12727,60073,190,268,0,0,0,34,62 
738,8281,43,50,127,8496,0,0,0,0,2,59,62 
2575,79532,669,65,688,6983,8,5,0,0,1,37,62 
2131,36974,910,7062,360,9555,3,4,1,1,1,76,63 
738,8281,43,50,127,8496,1,1,0,0,2,51,63 
2100,2252531,486,32909,3537,81208,149,1878,0,1,0,34,63 
738,8281,43,50,127,8496,1,1,0,0,2,56,63 
2707,9241,1989,49283,160,64455,13165,0,0,2,0,89,63 
2707,9241,1989,49283,160,64455,2,4,0,0,1,35,64 
2707,9241,1989,49283,160,64455,2009,0,0,1,1,11,64 
2707,9241,1989,49283,160,64455,60300,0,2,1,1,55,70 
2707,9241,1989,49283,160,64455,28,0,0,1,1,18,70 
1727,46410,1695,2137,249,4964,8,0,3,3,1,87,70 
3198,387192,381,311,4952,13196,12,9,0,0,1,58,73 
2295,1884668,103479,53,12727,60073,214,0,0,1,1,41,73 
2707,9241,1989,49283,160,64455,26,0,0,1,1,29,73 
738,8281,43,50,127,8496,1,0,0,0,2,55,73 
2707,9241,1989,49283,160,64455,3,0,0,1,0,12,73 
872,355430,245,7988,553,13235,24,75,0,0,0,21,73 
2707,9241,1989,49283,160,64455,1046,0,0,1,1,51,73 
2707,9241,1989,49283,160,64455,1,2,0,0,1,59,73 
872,355430,245,7988,553,13235,0,15,1,0,3,39,73 
2100,2252531,486,32909,3537,81208,125,1383,1,0,1,14,73 
2100,2252531,486,32909,3537,81208,82,1236,1,0,1,21,73 
2707,9241,1989,49283,160,64455,4,5,0,0,1,4,73 
2707,9241,1989,49283,160,64455,8,0,0,1,0,114,73 
2707,9241,1989,49283,160,64455,6,0,0,1,1,28,73 
2100,2252531,486,32909,3537,81208,89,1123,1,0,1,16,73 
2982,7020,732,381,294,20254,107,0,1,1,0,37,73 
2707,9241,1989,49283,160,64455,106,0,0,2,1,106,73 
2295,1884668,103479,53,12727,60073,264,354,0,0,0,31,73 
2100,2252531,486,32909,3537,81208,123,1253,1,0,1,11,73 
2100,2252531,486,32909,3537,81208,153,1709,1,0,1,6,73 
2707,9241,1989,49283,160,64455,17,0,0,1,0,21,73 
2707,9241,1989,49283,160,64455,46,0,0,1,1,32,73 
2707,9241,1989,49283,160,64455,3,0,0,1,0,39,73 
2707,9241,1989,49283,160,64455,5,0,0,1,0,48,73 
2707,9241,1989,49283,160,64455,13,0,0,1,0,107,73 
2707,9241,1989,49283,160,64455,181,0,0,1,1,12,73 
2707,9241,1989,49283,160,64455,4,0,0,1,1,25,73 
