36962,910,7062,361,9552,2,0,0,1,1,64,0

1884463,103479,53,12726,60066,25,25,0,0,0,18,0

78318,248,41,422,36638,0,1,1,0,1,46,0

8272,43,50,127,8485,3,1,0,0,2,61,0

7168,715,3859,118,14393,1,1,1,3,1,81,3

63578,19330,3726,601,32133,0,3,0,0,2,29,3

8272,43,50,127,8485,1,0,0,0,2,40,4

4910,276,213,64,2053,0,0,0,0,2,41,8

36962,910,7062,361,9552,1,1,0,1,1,97,8

63578,19330,3726,601,32133,1,0,1,2,1,79,8

1884463,103479,53,12726,60066,177,201,0,0,0,49,8

8272,43,50,127,8485,0,0,0,0,2,65,8

8272,43,50,127,8485,0,0,0,0,2,59,8

8272,43,50,127,8485,0,0,0,0,2,56,8

78318,248,41,422,36638,1,4,1,0,1,42,11

7168,715,3859,118,14393,1,0,1,1,1,92,12

2252394,487,32892,3537,81207,48,787,0,0,0,89,12

8272,43,50,127,8485,0,0,0,0,2,63,12

9235,1989,49259,160,64417,556,0,0,1,1,44,12

355288,245,7988,551,13231,2,22,1,0,1,21,12

78027,36365,153,915,61718,3,0,0,0,1,65,12

78027,36365,153,915,61718,0,0,0,0,1,19,13

63578,19330,3726,601,32133,1,3,0,1,2,54,15

1884463,103479,53,12726,60066,146,210,0,0,0,34,15

8272,43,50,127,8485,0,0,0,0,2,59,15

79520,669,65,688,6981,7,5,0,0,1,37,15

36962,910,7062,361,9552,3,4,1,1,1,76,16

8272,43,50,127,8485,1,1,0,0,2,51,16

2252394,487,32892,3537,81207,114,1327,0,1,0,34,16

8272,43,50,127,8485,1,1,0,0,2,56,16

9235,1989,49259,160,64417,9468,0,0,2,0,89,16

9235,1989,49259,160,64417,2,4,0,0,1,35,17

9235,1989,49259,160,64417,1814,0,0,1,1,11,17

9235,1989,49259,160,64417,57271,0,2,1,1,55,23

9235,1989,49259,160,64417,12,0,0,1,1,18,23

46407,1695,2137,249,4963,5,0,3,3,1,87,23

387173,381,311,4952,13198,9,7,0,0,1,58,26

1884463,103479,53,12726,60066,172,0,0,1,1,41,26

9235,1989,49259,160,64417,20,0,0,1,1,29,26

8272,43,50,127,8485,1,0,0,0,2,55,26

9235,1989,49259,160,64417,3,0,0,1,0,12,26

355288,245,7988,551,13231,20,53,0,0,0,21,26

9235,1989,49259,160,64417,817,0,0,1,1,51,26

9235,1989,49259,160,64417,1,1,0,0,1,59,26

355288,245,7988,551,13231,0,9,1,0,3,39,26

2252394,487,32892,3537,81207,105,1064,1,0,1,14,26

2252394,487,32892,3537,81207,66,933,1,0,1,21,26

9235,1989,49259,160,64417,3,3,0,0,1,4,26

9235,1989,49259,160,64417,7,0,0,1,0,114,26

9235,1989,49259,160,64417,5,0,0,1,1,28,26

2252394,487,32892,3537,81207,74,838,1,0,1,16,26

7016,732,381,294,20254,66,0,1,1,0,37,26

9235,1989,49259,160,64417,95,0,0,2,1,106,26

1884463,103479,53,12726,60066,209,293,0,0,0,31,26

2252394,487,32892,3537,81207,107,985,1,0,1,11,26

2252394,487,32892,3537,81207,130,1277,1,0,1,6,26

9235,1989,49259,160,64417,17,0,0,1,0,21,26

9235,1989,49259,160,64417,38,0,0,1,1,32,26

9235,1989,49259,160,64417,2,0,0,1,0,39,26

9235,1989,49259,160,64417,5,0,0,1,0,48,26

9235,1989,49259,160,64417,13,0,0,1,0,107,26

9235,1989,49259,160,64417,86,0,0,1,1,12,26

9235,1989,49259,160,64417,4,0,0,1,1,25,26

2252394,487,32892,3537,81207,250,0,0,1,1,42,26

2252394,487,32892,3537,81207,116,0,1,2,0,111,26

9235,1989,49259,160,64417,48,0,0,1,1,28,26

7168,715,3859,118,14393,0,0,1,0,2,44,27

9235,1989,49259,160,64417,4,13,0,0,1,17,27

33081,2821,300,91,4237,0,1,0,0,1,86,27

8272,43,50,127,8485,1,0,0,0,2,42,27

345813,163,4140,1147,8610,66,295,3,0,1,91,28

1884463,103479,53,12726,60066,135,0,0,1,0,99,28

9235,1989,49259,160,64417,87,0,0,1,1,62,28

8272,43,50,127,8485,0,0,0,0,2,51,29

8272,43,50,127,8485,4,1,0,0,2,49,29

355288,245,7988,551,13231,10,55,1,0,0,64,29

2252394,487,32892,3537,81207,152,0,0,1,2,18,29

446774,83,262,5671,38377,32,46,0,0,1,19,29

1884463,103479,53,12726,60066,286,354,0,0,0,40,29

168289,121,10873,818,30335,2552,0,0,1,0,99,35

8272,43,50,127,8485,2,0,0,0,2,9,35

9235,1989,49259,160,64417,3122,0,0,1,0,93,35

9235,1989,49259,160,64417,251,0,0,2,0,32,35

7016,732,381,294,20254,45,0,0,1,0,114,35

7168,715,3859,118,14393,0,0,1,1,2,65,36

2852353,771,13,29443,63137,53,103,0,0,2,33,37

446774,83,262,5671,38377,24,41,0,0,1,34,38

1884463,103479,53,12726,60066,221,0,0,1,0,74,38

8272,43,50,127,8485,2,0,0,0,1,33,38

1571385,873,686,2952,41399,67,217,1,5,2,13,39

78318,248,41,422,36638,1,3,1,0,1,43,39

1571385,873,686,2952,41399,93,228,1,2,2,74,40

63578,19330,3726,601,32133,3,0,0,5,0,111,44

168289,121,10873,818,30335,2895,0,2,2,1,34,48

473241,471,32,6978,23021,16,19,0,0,2,34,48

168289,121,10873,818,30335,20,107,1,1,2,29,48

8272,43,50,127,8485,1,2,0,0,2,62,48

1884463,103479,53,12726,60066,167,250,0,0,0,47,52

63578,19330,3726,601,32133,4,21,0,2,1,58,56

168289,121,10873,818,30335,217,461,2,0,1,10,56

1571385,873,686,2952,41399,34,123,1,2,2,57,58

446774,83,262,5671,38377,18,45,0,0,1,43,58

168289,121,10873,818,30335,191,410,2,1,1,69,62

414872,633,20927,1333,32115,44,358,1,0,0,17,66

7168,715,3859,118,14393,0,0,1,0,2,6,67

168289,121,10873,818,30335,15,63,0,1,1,52,69

8272,43,50,127,8485,0,1,0,0,2,50,69

46407,1695,2137,249,4963,20,32,0,0,1,88,69

168289,121,10873,818,30335,39,119,0,1,1,50,70

355288,245,7988,551,13231,1,37,0,0,2,69,70

1571385,873,686,2952,41399,44,139,1,2,2,69,73

345813,163,4140,1147,8610,8,59,2,1,2,46,74

8272,43,50,127,8485,0,0,0,0,2,35,75

1571385,873,686,2952,41399,15,98,1,1,2,16,75

9235,1989,49259,160,64417,275,0,0,1,1,83,75

1764348,747,20157,1633,40399,355,2005,0,0,1,23,75

1571385,873,686,2952,41399,32,126,1,2,2,20,78

168289,121,10873,818,30335,22,85,0,1,1,53,78

5354,3189,0,102,77345,0,0,0,0,1,89,78

63578,19330,3726,601,32133,3,12,0,0,1,91,80

1884463,103479,53,12726,60066,215,354,0,0,0,37,80

9235,1989,49259,160,64417,0,0,0,2,1,23,80

8272,43,50,127,8485,0,0,0,0,2,30,83

345813,163,4140,1147,8610,20,115,3,2,0,86,86

78318,248,41,422,36638,1,0,1,0,1,35,86

355288,245,7988,551,13231,23,58,2,0,0,58,86

446774,83,262,5671,38377,14,37,0,0,1,80,86

57227,1631,2962,479,19126,3,5,1,0,2,60,86

168289,121,10873,818,30335,18,65,1,1,2,54,87

345813,163,4140,1147,8610,6,47,2,1,1,44,88

36962,910,7062,361,9552,1,3,0,1,2,47,88

1571385,873,686,2952,41399,36,132,0,2,2,21,94

78318,248,41,422,36638,7,3,0,0,2,72,94

345813,163,4140,1147,8610,12,57,2,3,1,65,101

8272,43,50,127,8485,2,1,0,0,2,65,101

168289,121,10873,818,30335,5,21,0,2,1,59,103

1571385,873,686,2952,41399,45,136,2,2,2,59,103

7168,715,3859,118,14393,1,1,1,1,2,74,104

2852353,771,13,29443,63137,13,33,0,0,1,16,104

255821,501,130,3032,34383,14,71,0,0,2,41,106

345813,163,4140,1147,8610,14,58,3,2,1,51,115

8272,43,50,127,8485,0,0,0,0,2,47,116

153212,296,453,1982,6003,4,8,0,0,1,45,117

168289,121,10873,818,30335,1,22,0,1,1,73,119

46407,1695,2137,249,4963,29,0,1,1,1,23,119

79520,669,65,688,6981,4,1,0,0,1,36,119

8272,43,50,127,8485,0,0,0,0,2,64,119

1884463,103479,53,12726,60066,105,0,0,1,2,34,119

168289,121,10873,818,30335,15,77,0,1,2,32,119

6997,3713,19312,236,30459,16,0,0,1,0,45,119

1884463,103479,53,12726,60066,224,307,0,0,0,47,119

1571385,873,686,2952,41399,117,258,0,3,1,85,120

8272,43,50,127,8485,1,0,0,0,2,35,120

133618,159,45,5709,5977,24,0,0,1,0,24,120

1571385,873,686,2952,41399,7,55,0,1,1,20,125

7168,715,3859,118,14393,0,1,1,1,1,79,126

345813,163,4140,1147,8610,87,258,2,2,2,46,134

1571385,873,686,2952,41399,28,123,0,2,1,70,134

2852353,771,13,29443,63137,29,44,0,0,1,35,134

78318,248,41,422,36638,1,5,1,0,1,50,134

1571385,873,686,2952,41399,35,113,0,1,2,66,135

8272,43,50,127,8485,1,0,0,0,2,65,135

1571385,873,686,2952,41399,37,125,0,2,2,76,135

446774,83,262,5671,38377,16,39,0,1,1,65,135

255821,501,130,3032,34383,4,10,0,0,2,59,136

168289,121,10873,818,30335,3,24,1,1,1,84,136

168289,121,10873,818,30335,5,0,1,1,1,29,137

5354,3189,0,102,77345,0,0,0,0,1,89,137

7168,715,3859,118,14393,0,0,1,1,2,57,138

1884463,103479,53,12726,60066,235,326,0,0,0,71,138

168289,121,10873,818,30335,14,52,0,1,2,68,139

1571385,873,686,2952,41399,19,90,0,2,2,72,140

355288,245,7988,551,13231,1,74,0,0,2,60,140

78318,248,41,422,36638,0,6,1,0,2,60,140

1056870,6254,6689,327,51595,25,0,0,1,1,77,140

1571385,873,686,2952,41399,36,133,1,3,2,49,142

2252394,487,32892,3537,81207,41,448,0,1,1,43,142

446774,83,262,5671,38377,15,32,0,1,1,11,142

1764348,747,20157,1633,40399,95,936,0,1,1,36,142

1571385,873,686,2952,41399,26,87,0,1,2,65,142

345813,163,4140,1147,8610,10,64,3,2,0,86,145

9235,1989,49259,160,64417,0,1,0,2,1,74,147

1884463,103479,53,12726,60066,251,346,0,0,0,81,147

1764348,747,20157,1633,40399,882,4205,0,0,1,18,147

7016,732,381,294,20254,1,0,2,0,1,76,147

78318,248,41,422,36638,22,38,1,0,1,43,147

1571385,873,686,2952,41399,67,206,1,1,2,30,149

7168,715,3859,118,14393,0,0,0,2,2,70,153

444523,219,74,2821,96608,38,3,0,0,2,59,153

414872,633,20927,1333,32115,177,787,0,0,1,0,153

345813,163,4140,1147,8610,10,88,3,1,1,43,159

255821,501,130,3032,34383,5,20,0,0,2,43,159

446774,83,262,5671,38377,33,69,1,0,1,31,159

1571385,873,686,2952,41399,22,123,0,3,2,67,160

9235,1989,49259,160,64417,0,2,0,1,1,58,160

345813,163,4140,1147,8610,6,39,4,1,2,53,162

